統計期,統計區,總計,紙類及紙製品,金屬類,塑膠及橡膠製品,玻璃製品,紡織品,家電用品,電池,資訊及通信物品,農藥容器及特殊環境用藥容器,食用油,其他
100年,新北市,460027,258970,100656,39824,26349,4825,5075,1538,2135,44,0,20610
100年,臺北市,491820,272296,169328,16031,9503,1453,3005,839,2729,3,0,16633
100年,桃園市,284655,156515,46405,34286,20731,1211,3934,878,1690,35,0,18970
100年,臺中市,312112,174744,44386,33240,30159,3443,3859,1237,1533,83,0,19428
100年,臺南市,254245,129243,70499,21662,15056,2216,2273,1022,907,73,0,11293
100年,高雄市,413490,199698,94844,53905,37711,4879,3540,1860,1515,246,0,15292
100年,宜蘭縣,70577,34024,13268,9883,6018,1306,878,201,243,35,0,4721
100年,新竹縣,61300,25331,24369,5691,3607,414,764,315,346,6,0,457
100年,苗栗縣,67140,33242,14661,8316,5466,1269,1178,561,614,106,0,1727
100年,彰化縣,137331,76148,17410,14840,15105,3970,2298,1135,711,154,0,5560
100年,南投縣,60600,32819,10377,8266,6042,551,551,226,86,32,0,1650
100年,雲林縣,54789,25254,13651,5913,5431,694,1187,561,200,203,0,1695
100年,嘉義縣,60214,21367,19018,8965,5168,1510,920,254,572,91,0,2349
100年,屏東縣,84859,35280,23260,9946,9452,1248,1227,378,261,80,0,3726
100年,臺東縣,24451,6532,2346,7832,4924,289,55,79,13,8,0,2373
100年,花蓮縣,40385,21168,7055,5672,3349,380,934,295,354,8,0,1170
100年,澎湖縣,12709,6393,1184,1091,2485,141,256,148,137,33,0,842
100年,基隆市,64018,36994,6543,8085,7679,616,1225,67,273,32,0,2505
100年,新竹市,59635,41119,5017,3349,4349,2681,516,624,207,14,0,1758
100年,嘉義市,39450,19837,10309,3334,1373,609,1556,197,286,0,0,1949
100年,金門縣,6892,3583,736,1039,539,51,101,28,64,1,0,750
100年,連江縣,2481,775,904,147,50,0,100,13,17,0,0,474
100年 1月,新北市,42740,22661,9421,3654,2480,590,426,138,217,8,0,3146
100年 1月,臺北市,40617,22981,12808,1385,989,182,291,70,66,0,0,1844
100年 1月,桃園市,26974,13672,4243,3680,2392,116,522,70,134,4,0,2143
100年 1月,臺中市,26618,14310,3759,2909,2897,300,326,135,143,7,0,1832
100年 1月,臺南市,19365,9030,5307,1931,1264,210,169,56,62,7,0,1329
100年 1月,高雄市,33107,16649,6810,4680,2652,413,304,176,118,16,0,1290
100年 1月,宜蘭縣,5913,2844,1137,805,534,140,81,15,26,3,0,329
100年 1月,新竹縣,5451,2183,2115,423,319,35,61,25,25,1,0,265
100年 1月,苗栗縣,5521,2786,1007,644,491,112,112,55,85,9,0,221
100年 1月,彰化縣,11573,6294,1467,1261,1354,328,219,112,72,13,0,453
100年 1月,南投縣,5762,2828,1022,781,751,67,60,20,14,4,0,214
100年 1月,雲林縣,4608,2247,1027,467,434,66,95,41,16,21,0,193
100年 1月,嘉義縣,5135,1893,1573,645,472,121,108,22,88,5,0,208
100年 1月,屏東縣,6871,2806,1923,778,820,113,108,32,27,7,0,260
100年 1月,臺東縣,2001,577,264,714,296,22,5,7,1,1,0,114
100年 1月,花蓮縣,3402,1867,559,450,317,26,48,25,15,1,0,94
100年 1月,澎湖縣,948,544,93,65,136,13,19,14,8,2,0,55
100年 1月,基隆市,5520,3088,523,760,551,77,72,8,20,5,0,415
100年 1月,新竹市,5898,3727,434,324,397,239,64,66,17,2,0,629
100年 1月,嘉義市,3311,1620,846,263,163,59,127,14,23,0,0,196
100年 1月,金門縣,575,288,60,48,43,2,13,7,11,0,0,102
100年 1月,連江縣,297,112,123,14,6,0,12,2,3,0,0,25
100年 2月,新北市,37103,21175,7828,3157,2301,526,380,119,188,5,0,1425
100年 2月,臺北市,33913,20172,11076,658,578,132,179,54,344,0,0,720
100年 2月,桃園市,23540,13224,3372,2509,2537,92,257,71,134,2,0,1342
100年 2月,臺中市,24683,13851,3290,2757,2577,231,305,102,137,6,0,1426
100年 2月,臺南市,17130,8381,5052,1515,1166,193,172,58,60,5,0,528
100年 2月,高雄市,30506,14629,6559,4247,3045,442,282,141,122,28,0,1011
100年 2月,宜蘭縣,5610,2740,1057,762,458,121,69,14,23,3,0,365
100年 2月,新竹縣,4328,1836,1636,416,268,35,64,27,27,1,0,19
100年 2月,苗栗縣,6138,3026,1558,617,411,109,169,58,64,7,0,119
100年 2月,彰化縣,11172,6120,1363,1245,1195,308,225,100,71,13,0,532
100年 2月,南投縣,5001,2669,906,657,522,58,62,20,9,3,0,95
100年 2月,雲林縣,4290,2075,912,534,466,52,104,31,16,19,0,82
100年 2月,嘉義縣,4735,1686,1462,646,411,127,107,27,67,8,0,193
100年 2月,屏東縣,6722,2792,1866,756,806,127,117,29,27,8,0,192
100年 2月,臺東縣,1946,617,222,596,383,19,6,5,1,1,0,96
100年 2月,花蓮縣,3224,1635,526,537,293,30,81,21,31,0,0,71
100年 2月,澎湖縣,917,466,88,58,230,11,16,13,8,2,0,26
100年 2月,基隆市,5042,3105,509,640,412,55,97,3,25,4,0,191
100年 2月,新竹市,3879,2737,314,210,258,218,33,20,12,1,0,75
100年 2月,嘉義市,3036,1564,805,245,107,68,131,15,24,0,0,77
100年 2月,金門縣,509,240,127,43,36,2,12,2,7,0,0,40
100年 2月,連江縣,309,112,123,14,6,0,12,2,3,0,0,38
100年 3月,新北市,37896,20234,9305,3206,2228,489,383,127,179,4,0,1740
100年 3月,臺北市,36194,18917,13355,1568,731,103,156,46,116,0,0,1202
100年 3月,桃園市,22240,12531,3598,2681,1292,77,275,65,68,2,0,1651
100年 3月,臺中市,24678,13661,3339,2808,2645,235,270,109,145,6,0,1460
100年 3月,臺南市,18683,8950,5570,1704,1247,186,166,73,59,4,0,723
100年 3月,高雄市,32295,15586,7785,4431,2895,385,268,166,112,16,0,651
100年 3月,宜蘭縣,7000,2684,1034,804,486,99,64,20,21,1,0,1788
100年 3月,新竹縣,4509,1867,1799,412,283,31,50,22,34,1,0,11
100年 3月,苗栗縣,5526,2782,1247,652,411,110,104,49,57,9,0,104
100年 3月,彰化縣,11418,6219,1499,1296,1245,292,197,106,67,13,0,484
100年 3月,南投縣,4910,2634,863,712,510,31,52,17,7,3,0,82
100年 3月,雲林縣,4143,1881,1035,454,421,47,111,58,13,17,0,106
100年 3月,嘉義縣,4548,1749,1278,673,458,133,59,20,22,5,0,149
100年 3月,屏東縣,6749,2856,1833,770,782,119,101,33,24,8,0,224
100年 3月,臺東縣,1867,552,224,605,353,30,4,4,1,1,0,94
100年 3月,花蓮縣,3087,1569,580,383,327,30,61,23,19,0,0,95
100年 3月,澎湖縣,959,471,100,90,172,10,17,13,11,3,0,71
100年 3月,基隆市,4730,2608,491,659,581,42,87,4,19,4,0,236
100年 3月,新竹市,4691,3163,398,283,412,239,51,78,17,1,0,48
100年 3月,嘉義市,3271,1615,859,280,99,48,129,17,24,0,0,201
100年 3月,金門縣,587,246,63,99,36,3,7,2,5,0,0,127
100年 3月,連江縣,201,54,88,11,5,0,9,1,2,0,0,31
100年 4月,新北市,40287,23305,8752,3122,2209,355,409,112,160,4,0,1859
100年 4月,臺北市,42706,24401,14292,1403,957,117,173,46,79,0,0,1237
100年 4月,桃園市,22883,12164,3639,3421,1679,102,322,79,131,2,0,1344
100年 4月,臺中市,24841,14268,3516,2619,2379,257,283,111,123,6,0,1279
100年 4月,臺南市,22445,11250,6313,1933,1564,222,198,73,72,7,0,812
100年 4月,高雄市,31987,15171,8202,4337,2501,370,286,148,112,18,0,844
100年 4月,宜蘭縣,5531,2704,1106,786,480,106,69,14,17,2,0,247
100年 4月,新竹縣,4627,1983,1790,421,269,33,57,24,29,1,0,19
100年 4月,苗栗縣,5579,2840,1227,681,435,105,93,47,49,9,0,94
100年 4月,彰化縣,11024,5976,1452,1227,1264,330,188,97,68,12,0,409
100年 4月,南投縣,4344,2415,887,473,386,30,48,17,7,3,0,79
100年 4月,雲林縣,4213,1902,1119,447,444,50,108,27,13,21,0,82
100年 4月,嘉義縣,4579,1629,1359,715,406,129,58,23,20,5,0,235
100年 4月,屏東縣,6649,2696,1915,788,807,100,87,33,27,9,0,188
100年 4月,臺東縣,1855,543,182,670,323,25,5,10,1,1,0,95
100年 4月,花蓮縣,3096,1645,565,428,225,24,78,27,44,0,0,59
100年 4月,澎湖縣,956,471,90,85,190,11,17,12,10,3,0,66
100年 4月,基隆市,4978,2897,533,677,498,49,105,7,25,3,0,183
100年 4月,新竹市,4708,3339,340,250,402,215,37,65,21,1,0,39
100年 4月,嘉義市,3193,1706,801,277,93,49,133,17,25,0,0,93
100年 4月,金門縣,546,277,47,118,47,8,9,4,6,0,0,29
100年 4月,連江縣,158,40,65,10,4,0,7,1,2,0,0,29
100年 5月,新北市,39685,23597,7922,3165,2207,401,419,120,166,3,0,1686
100年 5月,臺北市,41491,24314,13012,1380,804,85,287,50,297,0,0,1262
100年 5月,桃園市,22495,12170,3547,2941,1752,104,329,66,167,2,0,1417
100年 5月,臺中市,25427,14351,3489,2715,2542,286,310,99,125,7,0,1502
100年 5月,臺南市,23394,11678,6665,2169,1489,206,205,90,70,7,0,815
100年 5月,高雄市,32974,14990,8699,4237,2800,399,306,168,138,21,0,1215
100年 5月,宜蘭縣,5752,2892,1112,824,496,118,68,15,20,2,0,205
100年 5月,新竹縣,4728,2078,1795,403,263,35,77,29,29,1,0,17
100年 5月,苗栗縣,5637,2823,1226,707,424,116,98,50,48,11,0,135
100年 5月,彰化縣,11441,6311,1474,1311,1226,339,199,105,64,13,0,400
100年 5月,南投縣,4465,2405,814,529,516,41,41,17,5,3,0,94
100年 5月,雲林縣,4476,2020,1187,493,445,55,105,38,15,15,0,104
100年 5月,嘉義縣,4534,1654,1239,741,430,137,61,23,38,5,0,206
100年 5月,屏東縣,7061,2955,1971,791,843,127,111,29,28,9,0,198
100年 5月,臺東縣,1875,517,165,707,366,20,6,9,2,1,0,85
100年 5月,花蓮縣,3405,1785,600,468,271,39,72,18,43,1,0,109
100年 5月,澎湖縣,994,534,113,83,121,13,24,17,12,3,0,74
100年 5月,基隆市,5090,2939,536,647,591,55,104,15,22,2,0,179
100年 5月,新竹市,4927,3342,452,289,442,243,36,55,14,1,0,52
100年 5月,嘉義市,3389,1697,908,312,110,62,131,16,25,0,0,128
100年 5月,金門縣,541,308,56,94,27,2,6,1,4,0,0,44
100年 5月,連江縣,177,41,73,11,4,0,7,1,2,0,0,38
100年 6月,新北市,40627,24243,7973,3453,2074,371,423,124,167,4,0,1794
100年 6月,臺北市,41882,24046,13868,1372,817,136,192,52,107,0,0,1292
100年 6月,桃園市,23305,12637,3768,3224,1572,95,287,79,84,3,0,1556
100年 6月,臺中市,25676,14694,3583,2734,2460,304,310,92,128,9,0,1362
100年 6月,臺南市,20998,10413,6075,1873,1300,186,198,72,76,7,0,797
100年 6月,高雄市,33192,14668,8667,4205,2822,429,298,165,154,25,0,1759
100年 6月,宜蘭縣,5812,2939,1093,842,529,107,80,18,20,3,0,180
100年 6月,新竹縣,5042,2182,1868,475,345,34,66,25,36,1,0,11
100年 6月,苗栗縣,5652,2749,1243,748,462,126,93,49,49,11,0,124
100年 6月,彰化縣,11552,6406,1573,1198,1265,332,200,93,63,13,0,410
100年 6月,南投縣,4792,2389,863,794,546,45,45,17,5,2,0,85
100年 6月,雲林縣,4209,2076,992,473,375,52,72,35,15,16,0,102
100年 6月,嘉義縣,4788,1657,1557,704,441,143,58,24,16,6,0,182
100年 6月,屏東縣,7406,3003,1995,788,768,104,97,31,19,8,0,594
100年 6月,臺東縣,1808,470,190,636,392,12,5,7,1,1,0,94
100年 6月,花蓮縣,3420,1868,620,455,249,34,84,35,19,1,0,55
100年 6月,澎湖縣,1177,520,100,105,298,9,22,11,10,3,0,98
100年 6月,基隆市,5276,3060,551,648,639,59,109,5,24,1,0,181
100年 6月,新竹市,5271,3896,416,294,319,218,41,23,21,1,0,41
100年 6月,嘉義市,3373,1722,848,294,158,62,133,17,25,0,0,114
100年 6月,金門縣,580,306,50,96,59,2,6,1,4,0,0,57
100年 6月,連江縣,173,40,73,11,4,0,6,1,1,0,0,36
100年 7月,新北市,37688,21107,7988,3522,2026,327,438,127,178,5,0,1969
100年 7月,臺北市,42137,22650,14841,1499,789,124,252,51,252,0,0,1679
100年 7月,桃園市,24805,13162,4531,3146,1715,115,290,90,164,5,0,1587
100年 7月,臺中市,26103,14484,4019,2666,2513,305,299,95,120,7,0,1597
100年 7月,臺南市,22550,11709,6222,1912,1330,184,186,84,88,6,0,829
100年 7月,高雄市,36481,18182,7845,4556,3259,406,271,156,128,19,0,1659
100年 7月,宜蘭縣,5978,2947,1208,858,508,108,76,18,20,2,0,233
100年 7月,新竹縣,5545,2359,2195,530,279,35,72,29,30,1,0,15
100年 7月,苗栗縣,5684,2777,1272,730,440,106,84,42,43,9,0,180
100年 7月,彰化縣,11490,6580,1459,1201,1245,314,194,91,60,13,0,333
100年 7月,南投縣,4927,2783,841,631,457,36,44,18,6,3,0,109
100年 7月,雲林縣,4438,2205,1037,452,441,59,51,29,32,15,0,115
100年 7月,嘉義縣,4849,1639,1622,733,471,130,57,18,17,9,0,154
100年 7月,屏東縣,7364,2920,2004,800,839,94,108,31,22,6,0,538
100年 7月,臺東縣,2070,494,176,583,346,15,4,6,1,1,0,444
100年 7月,花蓮縣,3547,1876,647,478,267,41,99,29,30,1,0,80
100年 7月,澎湖縣,1152,541,99,90,308,9,23,12,12,3,0,55
100年 7月,基隆市,5343,3130,569,665,603,45,104,3,22,2,0,201
100年 7月,新竹市,5309,3873,390,281,341,245,33,68,17,1,0,61
100年 7月,嘉義市,3334,1710,882,295,119,37,133,16,24,0,0,118
100年 7月,金門縣,600,345,46,97,35,2,6,1,3,0,0,63
100年 7月,連江縣,168,35,64,11,4,0,5,1,1,0,0,46
100年 8月,新北市,34183,18395,7829,3446,2144,304,448,110,196,2,0,1310
100年 8月,臺北市,41634,22012,15361,1347,742,85,316,46,371,0,0,1354
100年 8月,桃園市,24404,13501,4129,2841,1648,98,322,74,157,5,0,1628
100年 8月,臺中市,26648,14613,4013,2842,2454,305,354,93,127,8,0,1839
100年 8月,臺南市,22372,11968,5870,1842,1318,177,181,88,85,6,0,838
100年 8月,高雄市,36771,18302,7939,4593,3559,425,259,133,109,21,0,1432
100年 8月,宜蘭縣,5883,2959,1112,829,544,98,74,14,20,2,0,231
100年 8月,新竹縣,5476,2318,2127,516,334,37,71,28,29,0,0,14
100年 8月,苗栗縣,5658,2870,1203,752,402,111,71,40,42,8,0,158
100年 8月,彰化縣,11829,6595,1498,1245,1344,295,185,89,58,12,0,507
100年 8月,南投縣,5423,3059,888,779,483,50,39,16,5,2,0,101
100年 8月,雲林縣,4480,2085,1138,523,421,51,62,40,16,23,0,122
100年 8月,嘉義縣,5141,1768,1647,707,385,123,108,22,94,20,0,266
100年 8月,屏東縣,7236,3057,1968,804,750,84,104,27,19,7,0,415
100年 8月,臺東縣,2434,462,182,587,557,16,3,6,1,1,0,618
100年 8月,花蓮縣,3570,1748,641,561,287,40,81,30,44,1,0,136
100年 8月,澎湖縣,1071,559,109,112,141,11,24,12,13,3,0,87
100年 8月,基隆市,5491,3203,572,683,639,46,111,6,23,2,0,205
100年 8月,新竹市,5254,3670,488,312,363,229,61,34,17,1,0,77
100年 8月,嘉義市,3247,1638,922,263,73,51,125,16,23,0,0,136
100年 8月,金門縣,559,306,52,94,32,5,7,1,6,0,0,57
100年 8月,連江縣,199,71,58,13,3,0,9,1,1,0,0,43
100年 9月,新北市,31643,16880,7546,3112,1896,298,374,139,155,2,0,1240
100年 9月,臺北市,42490,22279,15741,1384,722,113,312,49,332,0,0,1558
100年 9月,桃園市,23790,13595,4225,2299,1418,96,349,76,157,3,0,1573
100年 9月,臺中市,26735,14940,3852,2801,2456,305,360,95,123,8,0,1793
100年 9月,臺南市,22066,11734,5979,1748,1131,172,213,112,89,6,0,882
100年 9月,高雄市,36771,18394,8413,4462,3605,382,240,138,91,16,0,1030
100年 9月,宜蘭縣,5837,2861,1138,840,510,98,77,13,20,3,0,277
100年 9月,新竹縣,5067,1958,2135,512,283,37,63,28,26,1,0,25
100年 9月,苗栗縣,5598,2712,1223,727,480,100,77,43,41,8,0,187
100年 9月,彰化縣,12040,6927,1428,1272,1206,304,172,104,51,13,0,564
100年 9月,南投縣,4979,2689,872,684,489,39,46,18,6,3,0,132
100年 9月,雲林縣,5070,2203,1465,523,438,100,70,60,14,15,0,181
100年 9月,嘉義縣,5489,1867,1908,851,417,152,73,19,43,8,0,151
100年 9月,屏東縣,7502,3218,1997,882,769,118,95,34,19,5,0,365
100年 9月,臺東縣,2201,507,120,687,413,18,4,8,1,1,0,442
100年 9月,花蓮縣,3495,1833,625,480,292,29,99,26,37,2,0,74
100年 9月,澎湖縣,1195,564,104,96,290,11,28,11,14,3,0,74
100年 9月,基隆市,5551,3211,571,670,746,45,117,4,24,2,0,163
100年 9月,新竹市,5264,3568,485,314,400,203,44,42,20,1,0,188
100年 9月,嘉義市,3298,1660,868,282,133,46,132,17,25,0,0,135
100年 9月,金門縣,589,304,50,93,65,5,9,5,5,0,0,53
100年 9月,連江縣,203,68,59,13,3,0,9,1,1,0,0,49
100年 10月,新北市,35942,19858,8368,3354,2094,349,401,134,160,2,0,1221
100年 10月,臺北市,42447,24103,14124,1359,860,118,246,44,165,0,0,1427
100年 10月,桃園市,24545,13303,4046,3058,1819,101,337,80,164,3,0,1634
100年 10月,臺中市,26547,15104,3788,2783,2435,300,355,96,123,7,0,1556
100年 10月,臺南市,22534,11839,6026,1692,1106,166,204,112,83,6,0,1300
100年 10月,高雄市,37271,18862,8397,4564,3317,374,254,135,94,18,0,1256
100年 10月,宜蘭縣,5818,2885,1083,854,488,101,75,19,20,6,0,288
100年 10月,新竹縣,5178,1824,2328,568,294,35,58,25,26,1,0,18
100年 10月,苗栗縣,5340,2574,1175,675,492,100,79,43,44,8,0,151
100年 10月,彰化縣,11220,6200,1402,1206,1278,298,175,79,47,13,0,523
100年 10月,南投縣,5227,2945,807,733,443,48,30,19,6,2,0,195
100年 10月,雲林縣,4705,2257,1026,497,510,51,97,57,17,16,0,176
100年 10月,嘉義縣,5452,1879,1803,883,407,112,73,22,62,7,0,204
100年 10月,屏東縣,7236,3085,1919,948,707,85,122,33,19,6,0,313
100年 10月,臺東縣,2141,550,199,722,552,21,4,5,1,1,0,86
100年 10月,花蓮縣,3334,1733,564,489,276,28,86,20,39,1,0,98
100年 10月,澎湖縣,1108,548,100,105,214,12,25,10,14,3,0,76
100年 10月,基隆市,5730,3260,593,678,833,45,106,4,23,2,0,186
100年 10月,新竹市,4653,3126,491,244,337,207,38,40,13,1,0,157
100年 10月,嘉義市,3199,1660,806,270,105,41,126,17,23,0,0,151
100年 10月,金門縣,578,303,56,85,46,5,8,2,4,0,0,69
100年 10月,連江縣,199,70,60,13,3,0,9,1,1,0,0,43
100年 11月,新北市,36724,19301,9228,3442,2294,424,449,133,173,2,0,1277
100年 11月,臺北市,42278,22874,15191,1316,717,112,285,54,272,0,0,1457
100年 11月,桃園市,23408,13239,3800,2515,1519,101,327,65,165,2,0,1673
100年 11月,臺中市,26997,15253,3940,2816,2323,294,348,102,119,6,0,1796
100年 11月,臺南市,21306,11083,5753,1669,1038,150,191,103,84,6,0,1229
100年 11月,高雄市,35753,17128,7598,4600,3562,419,378,154,165,25,0,1726
100年 11月,宜蘭縣,5737,2792,1099,845,479,100,71,21,19,4,0,305
100年 11月,新竹縣,5468,2250,2224,495,331,32,60,26,27,0,0,20
100年 11月,苗栗縣,5307,2618,1114,667,494,97,106,42,43,8,0,117
100年 11月,彰化縣,11134,6279,1365,1195,1230,290,169,82,43,14,0,467
100年 11月,南投縣,5213,2928,760,750,496,50,37,24,7,2,0,159
100年 11月,雲林縣,4783,2053,1194,492,526,46,134,67,17,13,0,241
100年 11月,嘉義縣,5368,1969,1670,855,440,100,66,18,46,7,0,198
100年 11月,屏東縣,7051,2983,2017,885,682,81,94,34,14,4,0,257
100年 11月,臺東縣,2039,606,224,612,430,40,5,6,1,1,0,115
100年 11月,花蓮縣,3381,1861,546,438,244,32,89,20,24,1,0,126
100年 11月,澎湖縣,1104,585,91,93,196,17,20,10,12,3,0,76
100年 11月,基隆市,5663,3261,574,680,806,46,107,4,24,2,0,159
100年 11月,新竹市,4811,3212,424,286,378,205,37,69,17,1,0,183
100年 11月,嘉義市,3362,1617,864,263,97,51,129,17,23,0,0,301
100年 11月,金門縣,609,325,67,87,54,4,9,1,4,0,0,57
100年 11月,連江縣,196,65,59,13,3,0,8,1,1,0,0,46
100年 12月,新北市,45509,28215,8496,3191,2397,391,525,154,195,4,0,1942
100年 12月,臺北市,44031,23546,15660,1359,797,147,316,276,328,0,0,1601
100年 12月,桃園市,22266,13317,3508,1971,1389,112,318,63,164,3,0,1421
100年 12月,臺中市,27160,15216,3798,2789,2478,320,338,107,120,6,0,1988
100年 12月,臺南市,21403,11208,5668,1673,1102,164,191,101,80,6,0,1210
100年 12月,高雄市,36380,17137,7930,4994,3696,435,395,180,171,25,0,1418
100年 12月,宜蘭縣,5706,2778,1090,833,504,109,73,20,20,5,0,274
100年 12月,新竹縣,5881,2494,2356,521,337,34,64,28,27,0,0,21
100年 12月,苗栗縣,5499,2686,1166,717,522,76,94,43,49,8,0,138
100年 12月,彰化縣,11438,6240,1429,1183,1253,541,177,77,48,13,0,477
100年 12月,南投縣,5557,3075,855,743,444,55,47,22,9,3,0,305
100年 12月,雲林縣,5373,2249,1518,559,510,63,177,78,17,13,0,189
100年 12月,嘉義縣,5598,1977,1900,814,430,103,92,16,58,6,0,202
100年 12月,屏東縣,7011,2909,1851,955,879,96,84,33,16,4,0,183
100年 12月,臺東縣,2215,639,198,712,512,49,6,7,1,1,0,91
100年 12月,花蓮縣,3425,1747,583,506,300,28,56,21,10,0,0,172
100年 12月,澎湖縣,1130,589,97,108,190,14,22,12,12,3,0,83
100年 12月,基隆市,5603,3232,522,677,782,52,105,4,22,2,0,206
100年 12月,新竹市,4969,3467,385,263,299,220,42,63,21,1,0,209
100年 12月,嘉義市,3437,1628,900,291,117,34,128,17,23,0,0,298
100年 12月,金門縣,618,336,64,85,59,9,9,1,5,0,0,51
100年 12月,連江縣,201,67,59,13,3,0,8,1,1,0,0,49
101年,新北市,506379,276164,108730,43763,30810,6042,7020,2202,2366,111,0,29170
101年,臺北市,494107,280388,162125,15110,10999,1729,2916,1144,2585,2,0,17110
101年,桃園市,308114,170753,57078,31573,20398,1509,3294,1276,1356,29,0,20848
101年,臺中市,361663,203108,57603,37282,32162,2739,4871,1473,1834,141,0,20449
101年,臺南市,261671,144983,67306,19276,12848,1448,1985,1089,868,68,0,11801
101年,高雄市,411525,194333,79090,61328,39704,5364,6038,1419,2629,141,0,21479
101年,宜蘭縣,69527,34285,13257,9868,6122,1223,752,222,215,61,0,3522
101年,新竹縣,65998,26913,25270,6361,4931,426,793,352,397,5,0,549
101年,苗栗縣,69427,34310,14695,8866,5593,1276,1357,473,436,85,0,2336
101年,彰化縣,157748,87555,19744,16809,15723,3817,3998,971,761,160,0,8211
101年,南投縣,68300,37810,10450,9800,5820,580,373,210,75,55,0,3126
101年,雲林縣,63810,26390,16604,6922,6648,812,2166,987,213,173,0,2895
101年,嘉義縣,66183,22353,20348,10601,5288,1885,733,273,799,45,0,3858
101年,屏東縣,89318,40662,20237,11751,9895,1156,1364,471,218,49,0,3515
101年,臺東縣,27365,8418,2755,8804,5407,204,123,98,25,10,0,1521
101年,花蓮縣,40068,20622,6936,5559,3853,422,1060,310,374,17,0,915
101年,澎湖縣,12516,6603,1162,1082,2451,179,231,111,125,38,0,535
101年,基隆市,67478,38556,6331,7644,10064,578,1231,54,248,30,0,2741
101年,新竹市,64477,38145,6016,3261,11315,2525,422,601,192,24,0,1975
101年,嘉義市,40414,19999,9677,3592,1425,627,1530,197,270,0,0,3098
101年,金門縣,7676,4010,1003,1106,546,75,150,25,69,2,0,691
101年,連江縣,2874,926,985,404,65,7,67,13,16,0,0,389
101年 1月,新北市,49437,26260,10767,3443,2709,688,735,192,262,8,0,4373
101年 1月,臺北市,43707,23193,15552,1494,1060,307,287,42,361,0,0,1411
101年 1月,桃園市,25850,14514,4219,2130,2189,150,414,113,145,3,0,1973
101年 1月,臺中市,29985,16757,4423,3117,2977,337,436,132,162,7,0,1637
101年 1月,臺南市,22353,11447,6069,1781,1383,165,196,104,81,8,0,1119
101年 1月,高雄市,36392,17625,7466,4721,4057,432,358,156,148,19,0,1410
101年 1月,宜蘭縣,6438,2970,1316,937,562,147,105,17,23,5,0,356
101年 1月,新竹縣,6217,2798,2196,551,412,39,81,29,41,1,0,69
101年 1月,苗栗縣,5877,2876,1235,727,498,112,117,47,51,8,0,206
101年 1月,彰化縣,12026,6639,1442,1263,1353,363,192,76,54,13,0,629
101年 1月,南投縣,5833,3340,777,757,556,82,43,21,6,29,0,222
101年 1月,雲林縣,5881,2477,1514,581,592,92,207,75,19,15,0,308
101年 1月,嘉義縣,5756,2054,1775,891,429,193,51,17,80,5,0,263
101年 1月,屏東縣,7327,3268,1788,1011,832,100,101,29,18,4,0,176
101年 1月,臺東縣,2152,686,287,619,399,22,9,7,1,1,0,120
101年 1月,花蓮縣,3747,1987,550,509,363,47,129,22,33,0,0,107
101年 1月,澎湖縣,1076,594,111,88,145,18,25,13,12,3,0,68
101年 1月,基隆市,6140,3677,588,775,675,73,132,4,24,3,0,188
101年 1月,新竹市,5525,3866,428,283,412,237,51,58,21,2,0,166
101年 1月,嘉義市,3360,1781,799,324,154,66,128,17,24,0,0,68
101年 1月,金門縣,596,343,68,72,38,4,9,1,6,0,0,55
101年 1月,連江縣,201,71,62,16,4,0,8,1,1,0,0,38
101年 2月,新北市,39214,22109,7019,3869,2263,387,662,174,249,6,0,2476
101年 2月,臺北市,39676,22539,13089,1310,641,168,437,42,309,0,0,1141
101年 2月,桃園市,25686,14623,4120,2656,1859,111,271,101,101,4,0,1840
101年 2月,臺中市,25678,14473,3642,2746,2391,216,289,107,124,10,0,1680
101年 2月,臺南市,21029,11525,5500,1561,1081,124,162,91,68,5,0,911
101年 2月,高雄市,33814,16870,6456,4868,3082,401,380,117,158,13,0,1469
101年 2月,宜蘭縣,5427,2649,1023,769,565,90,59,20,20,5,0,227
101年 2月,新竹縣,5469,2266,2093,523,408,33,65,30,29,0,0,20
101年 2月,苗栗縣,5533,2738,1151,707,492,105,92,41,41,7,0,158
101年 2月,彰化縣,11097,5897,1511,1192,1242,303,186,72,48,13,0,633
101年 2月,南投縣,5703,3334,819,769,521,45,35,18,13,2,0,147
101年 2月,雲林縣,5144,2225,1170,525,608,86,222,97,16,12,0,183
101年 2月,嘉義縣,5523,1901,1671,886,468,142,70,17,153,4,0,211
101年 2月,屏東縣,6609,2867,1766,857,725,112,87,30,18,4,0,144
101年 2月,臺東縣,2150,766,203,627,412,14,22,9,2,1,0,96
101年 2月,花蓮縣,3090,1570,541,414,291,35,100,47,42,0,0,49
101年 2月,澎湖縣,1057,559,111,77,197,12,25,11,13,3,0,49
101年 2月,基隆市,5253,2996,556,618,656,52,99,4,19,3,0,251
101年 2月,新竹市,4094,2637,371,234,378,205,32,50,12,1,0,174
101年 2月,嘉義市,3264,1711,778,262,97,66,132,17,23,0,0,178
101年 2月,金門縣,563,281,52,90,67,4,6,1,6,0,0,56
101年 2月,連江縣,219,75,65,20,4,0,8,1,1,0,0,45
101年 3月,新北市,42613,24866,8575,3034,2533,468,480,176,138,6,0,2338
101年 3月,臺北市,40721,22523,13047,1713,750,184,500,66,394,0,0,1542
101年 3月,桃園市,26279,15035,4424,2781,1761,107,245,105,102,2,0,1716
101年 3月,臺中市,28638,16398,4221,3068,2525,214,298,124,163,9,0,1618
